"PRODUCT_ID","PRODUCT_NAME","QUANTITY","PRODUCT_PRICE","CATEGORY_ID"
"100","Alden Systems","0","0","100"
"101","Montpelier Plas","1","1","101"
"102","Quality Assured","2","2","102"
"103","DaimlerChrysler","3","3","103"
"104","Parksite","4","4","104"
"105","SSCI","5","5","105"
"107","Dancor","7","7","107"
"109","Aloha NY System","9","9","109"
"110","Larkin Enterpri","10","10","110"
"111","AOL Time Warner","11","11","111"
"112","SafeHome Securi","12","12","112"
"113","Green Mountain ","13","13","113"
"114","Mission Control","14","14","114"
"115","KSJ & Associate","15","15","115"
"116","Enterprise Comp","16","16","116"
"117","Toyota Motor Co","17","17","117"
"118","First American ","18","18","118"
"120","Kitba Consultin","20","20","120"
"121","Hat World","21","21","121"
"123","Kimberly-Clark ","23","23","123"
"124","Clorox Co.","24","24","124"
"126","Prometheus Labo","26","26","126"
"127","AC Technologies","27","27","127"
"128","Connected","28","28","128"
"129","Conquest System","29","29","129"
"130","Procter & Gambl","30","30","130"
"131","Oakleaf Waste M","31","31","131"
"132","Benecon Group","32","32","132"
"133","FSF Financial","33","33","133"
"135","Veri-Tek Intern","35","35","135"
"136","Hi-Tech Pharmac","36","36","136"
"139","Terra Firma","39","39","139"
"140","Virtual Meeting","40","40","140"
"141","First American ","41","41","141"
"142","Gillette Co.","42","42","142"
"143","Ford Motor Co.","43","43","143"
"144","SCI","44","44","144"
"145","Spenser Communi","45","45","145"
"147","Simply Certific","47","47","147"
"148","Procurement Cen","48","48","148"
"153","Global Domains ","53","53","153"
"156","American Pan & ","56","56","156"
"157","Advantage Credi","57","57","157"
"159","Adolph Coors Co","59","59","159"
"163","Access Systems","63","63","163"
"164","httprint","64","64","164"
"166","SSCI","66","66","166"
"167","Merck & Co.","67","67","167"
"171","WAV","71","71","171"
"172","ZonePerfect Nut","72","72","172"
"174","Unilever","74","74","174"
"177","NoBrainerBlinds","77","77","177"
"178","Softworld","78","78","178"
"182","Spenser Communi","82","82","182"
"183","Unger Technolog","83","83","183"
"184","Glacier Bancorp","84","84","184"
"188","TruSecure","88","88","188"
"191","New Horizons Co","91","91","191"
"192","Typhoon","92","92","192"
"195","Dankoff Solar P","95","95","195"
"196","Topics Entertai","96","96","196"
"199","Apex Systems","99","99","199"
"200","Manhattan Assoc","0","0","100"
"201","Novartis","1","1","101"
"202","Unica","2","2","102"
"203","CapTech Venture","3","3","103"
"204","Gap Inc.","4","4","104"
"205","Capital Automot","5","5","105"
"207","Legacy Financia","7","7","107"
"209","Berkshire Hatha","9","9","109"
"210","American Pan & ","10","10","110"
"211","Heritage Microf","11","11","111"
"212","3t Systems","12","12","112"
"213","Gillette Co.","13","13","113"
"214","MQ Software","14","14","114"
"215","SurModics","15","15","115"
"216","Catamount Const","16","16","116"
"217","Integrated Deci","17","17","117"
"218","Venoco","18","18","118"
"220","Megha Systems","20","20","120"
"221","Capella Educati","21","21","121"
"223","FlavorX","23","23","123"
"224","Lindin Consulti","24","24","124"
"226","Analytics Opera","26","26","126"
"227","Virbac","27","27","127"
"228","Eze Castle Soft","28","28","128"
"229","CLT Meetings In","29","29","129"
"230","Best Buy Co.","30","30","130"
"231","EPIQ Systems","31","31","131"
"232","Integra Telecom","32","32","132"
"233","Spectrum Commun","33","33","133"
"235","Innovate E-Comm","35","35","135"
"236","Sprint Corp.","36","36","136"
"239","Freedom Medical","39","39","139"
"240","Greenwich Techn","40","40","140"
"241","Bristol-Myers S","41","41","141"
"242","Brandt Informat","42","42","142"
"243","Kingston","43","43","143"
"244","Pearl Law Group","44","44","144"
"245","Auction Systems","45","45","145"
"247","Global Domains ","47","47","147"
"248","Solution Builde","48","48","148"
"253","Outsource Group","53","53","153"
"256","Lindin Consulti","56","56","156"
"257","Anheuser-Busch ","57","57","157"
"259","North American ","59","59","159"
"263","Myricom","63","63","163"
"264","MRE Consulting","64","64","164"
"266","Kingston","66","66","166"
"267","Boldtech System","67","67","167"
"271","Asta Funding","71","71","171"
"272","Terra Firma","72","72","172"
"274","National Herita","74","74","174"
"277","Typhoon","77","77","177"
"278","Bradley Pharmac","78","78","178"
"282","Inspiration Sof","82","82","182"
"283","J.C. Malone Ass","83","83","183"
"284","U.S Physical Th","84","84","184"
"288","One Source Prin","88","88","188"
"291","Summit Energy","91","91","191"
"292","SYS-CON Media","92","92","192"
"295","Clover Technolo","95","95","195"
"296","Extra Mile Tran","96","96","196"
"299","Capital Crossin","99","99","199"
"300","Street Glow","0","0","100"
"301","Studio B Produc","1","1","101"
"302","Maverick Techno","2","2","102"
"303","Network Display","3","3","103"
"304","Commercial Ener","4","4","104"
"305","Pulaski Financi","5","5","105"
"307","Unicru","7","7","107"
"309","Phoenix Rehabil","9","9","109"
"310","Extra Mile Tran","10","10","110"
"311","Extreme Pizza","11","11","111"
"312","Progressive Des","12","12","112"
"313","NoBrainerBlinds","13","13","113"
"314","Keller Williams","14","14","114"
"315","Formatech","15","15","115"
"316","Cowlitz Bancorp","16","16","116"
"317","CyberThink","17","17","117"
"318","Granite Systems","18","18","118"
"320","PepsiCo","20","20","120"
"321","Gentra Systems","21","21","121"
"323","InsurMark","23","23","123"
"324","Eze Castle Soft","24","24","124"
"326","Pioneer Mortgag","26","26","126"
"327","TLS Service Bur","27","27","127"
"328","Vivendi Univers","28","28","128"
"329","Synhrgy HR Tech","29","29","129"
"330","GCI","30","30","130"
"331","Miracle Softwar","31","31","131"
"332","Abdon Callais O","32","32","132"
"333","Arkidata","33","33","133"
"335","Commercial Ener","35","35","135"
"336","McKee Wallwork ","36","36","136"
"339","httprint","39","39","139"
"340","North Coast Ene","40","40","140"
"341","Pulaski Financi","41","41","141"
"342","PrintingForLess","42","42","142"
"343","Floorgraphics","43","43","143"
"344","Columbia Bancor","44","44","144"
"345","Mission Control","45","45","145"
"347","Cima Consulting","47","47","147"
"348","American Servic","48","48","148"
"353","Deutsche Teleko","53","53","153"
"356","St. Mary Land &","56","56","156"
"357","American Megaco","57","57","157"
"359","Clorox Co.","59","59","159"
"363","Commercial Ener","63","63","163"
"364","Cima Labs","64","64","164"
"366","Taycor Financia","66","66","166"
"367","Tracer Technolo","67","67","167"
"371","Vertex Solution","71","71","171"
"372","Conquest System","72","72","172"
"374","Restaurant Part","74","74","174"
"377","McKee Wallwork ","77","77","177"
"378","Advanced Vision","78","78","178"
"382","Advanced Intern","82","82","182"
"383","Global Domains ","83","83","183"
"384","Blue Ocean Soft","84","84","184"
"388","SimStar Interne","88","88","188"
"391","Investors Title","91","91","191"
"392","General Mills","92","92","192"
"395","CREDO Petroleum","95","95","195"
"396","Urstadt Biddle ","96","96","196"
"399","Evergreen Resou","99","99","199"
"400","General Motors ","0","0","100"
"401","Myricom","1","1","101"
"402","SM Consulting","2","2","102"
"403","Kramont Realty ","3","3","103"
"404","QSS Group","4","4","104"
"405","Kingston","5","5","105"
"407","Magnet Communic","7","7","107"
"409","Merit Medical S","9","9","109"
"410","Lydian Trust","10","10","110"
"411","Laboratory Mana","11","11","111"
"412","L.E.M. Products","12","12","112"
"413","Virtual Financi","13","13","113"
"414","Clorox Co.","14","14","114"
"415","Philip Morris C","15","15","115"
"416","Liners Direct","16","16","116"
"417","ProSys Informat","17","17","117"
"418","Morgan Stanley ","18","18","118"
"420","Staff One","20","20","120"
"421","Joseph Sheairs ","21","21","121"
"423","Monitronics Int","23","23","123"
"424","Capella Educati","24","24","124"
"426","MHF Logistical ","26","26","126"
"427","Hilton Hotels C","27","27","127"
"428","Newton Interact","28","28","128"
"429","Universal Solut","29","29","129"
"430","Client Network ","30","30","130"
"431","Coca-Cola Co.","31","31","131"
"432","Arkidata","32","32","132"
"433","Homebuilders Fi","33","33","133"
"435","Investors Title","35","35","135"
"436","Process Plus","36","36","136"
"439","Mosaic","39","39","139"
"440","Quantum Loyalty","40","40","140"
"441","Advertising Ven","41","41","141"
"442","Computer Source","42","42","142"
"443","Saks Inc.","43","43","143"
"444","Legacy Financia","44","44","144"
"445","Data Company","45","45","145"
"447","Cambridge Home ","47","47","147"
"448","U.S. Government","48","48","148"
"453","U.S. Government","53","53","153"
"456","FFLC Bancorp","56","56","156"
"457","May Department ","57","57","157"
"459","Greenwich Techn","59","59","159"
"463","Access Systems","63","63","163"
"464","Sony Corp.","64","64","164"
"466","Quantum Loyalty","66","66","166"
"467","Unica","67","67","167"
"471","One Source Prin","71","71","171"
"472","Ogio Internatio","72","72","172"
"474","Newton Interact","74","74","174"
"477","Atlantic.Net","77","77","177"
"478","Heartlab","78","78","178"
"482","Bashen Consulti","82","82","182"
"483","Kellogg Co.","83","83","183"
"484","Mattel","84","84","184"
"488","United Asset Co","88","88","188"
"491","DC Group","91","91","191"
"492","Morgan Stanley ","92","92","192"
"495","Terra Firma","95","95","195"
"496","Marriott Intern","96","96","196"
"499","Hospital Soluti","99","99","199"
"500","Safeway","0","0","100"
"501","InfoVision Cons","1","1","101"
"502","Limited Brands","2","2","102"
"503","Infinity Softwa","3","3","103"
"504","Scott Pipitone ","4","4","104"
"505","SM Consulting","5","5","105"
"507","Catamount Const","7","7","107"
"509","Vitacost.com","9","9","109"
"510","Allegiant Banco","10","10","110"
"511","Joseph Sheairs ","11","11","111"
"512","Commercial Ener","12","12","112"
"513","Gray Hawk Syste","13","13","113"
"514","Portage Environ","14","14","114"
"515","Procter & Gambl","15","15","115"
"516","Coca-Cola Co.","16","16","116"
"517","G.A. Beck Artis","17","17","117"
"518","Bristol-Myers S","18","18","118"
"520","Diamond Pharmac","20","20","120"
"521","American Expres","21","21","121"
"523","Envision Teleph","23","23","123"
"524","Banfe Products","24","24","124"
"526","Advanced Intern","26","26","126"
"527","ProSys Informat","27","27","127"
"528","Uniserve Facili","28","28","128"
"529","Commercial Ener","29","29","129"
"530","Newton Interact","30","30","130"
"531","ComGlobal Syste","31","31","131"
"532","Prosoft Technol","32","32","132"
"533","Bluff City Stee","33","33","133"
"535","PowerLight","35","35","135"
"536","Deutsche Teleko","36","36","136"
"539","Cherokee Inform","39","39","139"
"540","Scooter Store","40","40","140"
"541","Myricom","41","41","141"
"542","GRT","42","42","142"
"543","One Source Prin","43","43","143"
"544","Linksys","44","44","144"
"545","Active Services","45","45","145"
"547","Biosite","47","47","147"
"548","Tarragon Realty","48","48","148"
"553","ProfitLine","53","53","153"
"556","Mathis, Earnest","56","56","156"
"557","Kingland Compan","57","57","157"
"559","Bashen Consulti","59","59","159"
"563","Comnet Internat","63","63","163"
"564","Evergreen Resou","64","64","164"
"566","American Vangua","66","66","166"
"567","Pacific Data De","67","67","167"
"571","Trek Equipment","71","71","171"
"572","Allegiant Banco","72","72","172"
"574","America's Choic","74","74","174"
"577","Woronoco Bancor","77","77","177"
"578","ScriptSave","78","78","178"
"582","Trainersoft","82","82","182"
"583","FlavorX","83","83","183"
"584","All Star Consul","84","84","184"
"588","Unica","88","88","188"
"591","Socket Internet","91","91","191"
"592","Inspiration Sof","92","92","192"
"595","FSF Financial","95","95","195"
"596","Partnership in ","96","96","196"
"599","Miller Systems","99","99","199"
"600","Novartis","0","0","100"
"601","Bowman Consulti","1","1","101"
"602","Strategic Produ","2","2","102"
"603","BASE Consulting","3","3","103"
"604","Total Entertain","4","4","104"
"605","WAV","5","5","105"
"607","Global Wireless","7","7","107"
"609","Virtual Financi","9","9","109"
"610","LogistiCare","10","10","110"
"611","Visionary Syste","11","11","111"
"612","GCI","12","12","112"
"613","Verizon Communi","13","13","113"
"614","Eze Castle Soft","14","14","114"
"615","CIW Services","15","15","115"
"616","AXSA Document S","16","16","116"
"617","Joe Lombardo Pl","17","17","117"
"618","Digital Motorwo","18","18","118"
"620","Active Services","20","20","120"
"621","Benecon Group","21","21","121"
"623","Infinity Softwa","23","23","123"
"624","Club One","24","24","124"
"626","Envision Teleph","26","26","126"
"627","GulfMark Offsho","27","27","127"
"628","Peerless Manufa","28","28","128"
"629","Tarragon Realty","29","29","129"
"630","Viacom","30","30","130"
"631","Pioneer Data Sy","31","31","131"
"632","Network Hardwar","32","32","132"
"633","Acsis","33","33","133"
"635","Grant Harrison ","35","35","135"
"636","Uniserve Facili","36","36","136"
"639","CLT Meetings In","39","39","139"
"640","httprint","40","40","140"
"641","Apex Systems","41","41","141"
"642","Marlabs","42","42","142"
"643","EFC Bancorp","43","43","143"
"644","Visa Internatio","44","44","144"
"645","Client Network ","45","45","145"
"647","Merck & Co.","47","47","147"
"648","Solipsys","48","48","148"
"653","Uniserve Facili","53","53","153"
"656","Granite Systems","56","56","156"
"657","Inspiration Sof","57","57","157"
"659","Pyramid Digital","59","59","159"
"663","Cardinal Cartri","63","63","163"
"664","Travizon","64","64","164"
"666","Genex Technolog","66","66","166"
"667","Qestrel Cos.","67","67","167"
"671","Teamstudio","71","71","171"
"672","Saks Inc.","72","72","172"
"674","Nike","74","74","174"
"677","Creditors Inter","77","77","177"
"678","CREDO Petroleum","78","78","178"
"682","Cendant Corp.","82","82","182"
"683","Kroger Co.","83","83","183"
"684","Genghis Grill","84","84","184"
"688","CREDO Petroleum","88","88","188"
"691","Glacier Bancorp","91","91","191"
"692","Virtual Financi","92","92","192"
"695","USA Instruments","95","95","195"
"696","STI Knowledge","96","96","196"
"699","Ultimus","99","99","199"
"606","GlaxoSmithKline","6","6","206"
"608","Blue Ocean Soft","8","8","208"
"619","Client Network ","19","19","219"
"622","SHOT","22","22","222"
"625","Span-America Me","25","25","225"
"634","Sensor Technolo","34","34","234"
"637","esoftsolutions","37","37","237"
"638","Canterbury Park","38","38","238"
"646","Capitol Bancorp","46","46","246"
"651","DataTrend Infor","51","51","251"
"655","Deutsche Teleko","55","55","255"
"658","Priority Expres","58","58","258"
"662","ELMCO","62","62","262"
"665","Kellogg Co.","65","65","265"
"668","Career Control ","68","68","268"
"669","SYS-CON Media","69","69","269"
"670","Cold Stone Crea","70","70","270"
"673","InfoPros","73","73","273"
"675","Max & Erma's Re","75","75","275"
"676","AT&T Corp.","76","76","276"
"680","Integra Telecom","80","80","280"
"681","Genghis Grill","81","81","281"
"685","Staff One","85","85","285"
"686","Call Henry","86","86","286"
"689","Qestrel Cos.","89","89","289"
"694","MindIQ","94","94","294"
"698","Vitacost.com","98","98","298"
"700","Nexxtworks","0","0","300"
"701","Momentum Market","1","1","301"
"702","Tilson Landscap","2","2","302"
"703","Hat World","3","3","303"
"704","Painted Word","4","4","304"
"705","In Zone","5","5","305"
"706","Integra Telecom","6","6","306"
"708","Legacy Financia","8","8","308"
"709","Component Graph","9","9","309"
"710","Kingston","10","10","310"
"711","Labrada Nutriti","11","11","311"
"712","WorldCom","12","12","312"
"713","Larkin Enterpri","13","13","313"
"714","Peerless Manufa","14","14","314"
"715","Franklin Americ","15","15","315"
"716","esoftsolutions","16","16","316"
"717","AT&T Corp.","17","17","317"
"718","Prosperity Banc","18","18","318"
"719","Wyeth","19","19","319"
"720","Maverick Constr","20","20","320"
"721","Mathis, Earnest","21","21","321"
"722","Astute","22","22","322"
"723","Bristol-Myers S","23","23","323"
"724","Quality Assured","24","24","324"
"725","PSC Info Group","25","25","325"
"726","Southern Financ","26","26","326"
"727","Horizon Consult","27","27","327"
"728","Envision Teleph","28","28","328"
"729","Investors Title","29","29","329"
"730","ProSys Informat","30","30","330"
"731","Apex Systems","31","31","331"
"732","Gateway","32","32","332"
"733","Fetch Logistics","33","33","333"
"734","Quantum Loyalty","34","34","334"
"735","WRG Services","35","35","335"
"736","Unit","36","36","336"
"737","FFLC Bancorp","37","37","337"
"738","Synhrgy HR Tech","38","38","338"
"739","Infinity Softwa","39","39","339"
"740","CCF Holding","40","40","340"
"741","Typhoon","41","41","341"
"742","Advanced Techno","42","42","342"
"743","Flow Management","43","43","343"
"744","Alternative Tec","44","44","344"
"745","Apex Systems","45","45","345"
"746","Tigris Consulti","46","46","346"
"747","Intel Corp.","47","47","347"
"748","Comnet Internat","48","48","348"
"749","Ford Motor Co.","49","49","349"
"750","Advanced Intern","50","50","350"
"751","GulfMark Offsho","51","51","351"
"752","Staff One","52","52","352"
"753","Blue Angel Tech","53","53","353"
"754","HealthCare Fina","54","54","354"
"755","Sandy Spring Ba","55","55","355"
"756","TEOCO","56","56","356"
"757","Dancor","57","57","357"
"758","Cowlitz Bancorp","58","58","358"
"759","DaimlerChrysler","59","59","359"
"760","Web Group","60","60","360"
"761","Diversitech","61","61","361"
"762","WestNet Learnin","62","62","362"
"763","North Highland","63","63","363"
"764","Call Henry","64","64","364"
"765","Network Display","65","65","365"
"766","General Motors ","66","66","366"
"767","Biosite","67","67","367"
"768","Aquascape Desig","68","68","368"
"769","Alliance of Pro","69","69","369"
"770","Pacific Data De","70","70","370"
"771","Kroger Co.","71","71","371"
"772","WRG Services","72","72","372"
"773","Exinom Technolo","73","73","373"
"774","EPAM Systems","74","74","374"
"775","Elite Medical","75","75","375"
"776","Diamond Technol","76","76","376"
"777","Enterprise Comp","77","77","377"
"778","Travizon","78","78","378"
"779","Heartland Payme","79","79","379"
"780","esoftsolutions","80","80","380"
"781","Maverick Techno","81","81","381"
"782","Volkswagen","82","82","382"
"783","Primus Software","83","83","383"
"784","Glacier Bancorp","84","84","384"
"785","Terra Firma","85","85","385"
"786","Y2Marketing","86","86","386"
"787","Joseph Sheairs ","87","87","387"
"788","Creditors Inter","88","88","388"
"789","Southern Financ","89","89","389"
"790","Progressive Des","90","90","390"
"791","Carteret Mortga","91","91","391"
"792","Black Mountain ","92","92","392"
"793","Network Hardwar","93","93","393"
"794","Pioneer Mortgag","94","94","394"
"795","KeyMark","95","95","395"
"796","ProClarity","96","96","396"
"797","Coadvantage Res","97","97","397"
"799","Portosan","99","99","399"
"800","Abdon Callais O","0","0","400"
"801","TechRX","1","1","401"
"802","STI Knowledge","2","2","402"
"803","Adea Solutions","3","3","403"
"804","ConAgra","4","4","404"
"805","Parksite","5","5","405"
"806","Gateway","6","6","406"
"807","Navigator Syste","7","7","407"
"808","Integrated Deci","8","8","408"
"809","Quantum Loyalty","9","9","409"
"810","Greenwich Techn","10","10","410"
"811","Kimberly-Clark ","11","11","411"
"812","Custom Solution","12","12","412"
"813","Franklin Americ","13","13","413"
"814","Comnet Internat","14","14","414"
"815","Glacier Bancorp","15","15","415"
"816","North Coast Ene","16","16","416"
"818","New Media Commu","18","18","418"
"819","Balchem","19","19","419"
"820","Global Domains ","20","20","420"
"821","IVCi","21","21","421"
"822","Prosum","22","22","422"
"823","Open Software S","23","23","423"
"824","Blue Angel Tech","24","24","424"
"825","Progressive Des","25","25","425"
"826","Acsis","26","26","426"
"827","Web Group","27","27","427"
"828","CIW Services","28","28","428"
"829","Unicru","29","29","429"
"830","Shuffle Master","30","30","430"
"831","Nestle","31","31","431"
"832","TechRX","32","32","432"
"833","G.A. Beck Artis","33","33","433"
"834","Quaker City Ban","34","34","434"
"835","Dataprise","35","35","435"
"836","Restaurant Part","36","36","436"
"837","Blue Angel Tech","37","37","437"
"838","John Keeler & C","38","38","438"
"839","Capital Bank","39","39","439"
"840","Connected","40","40","440"
"841","White Wave","41","41","441"
"842","G.A. Beck Artis","42","42","442"
"843","Synhrgy HR Tech","43","43","443"
"844","Benecon Group","44","44","444"
"845","Sara Lee Corp.","45","45","445"
"846","Sprint Corp.","46","46","446"
"847","Advanced Techno","47","47","447"
"848","Asta Funding","48","48","448"
"849","Printcafe Softw","49","49","449"
"850","Data Warehouse","50","50","450"
"851","Air Methods","51","51","451"
"852","Market First","52","52","452"
"853","Smartronix","53","53","453"
"854","Pearl Law Group","54","54","454"
"856","Tastefully Simp","56","56","456"
"857","Hardwood Wholes","57","57","457"
"858","Summit Energy","58","58","458"
"859","Terra Firma","59","59","459"
"860","Sony Corp.","60","60","460"
"861","Adolph Coors Co","61","61","461"
"862","Escalade","62","62","462"
"863","Reckitt Benckis","63","63","463"
"864","Questar Capital","64","64","464"
"865","Hewlett-Packard","65","65","465"
"866","Cold Stone Crea","66","66","466"
"867","Innovative Ligh","67","67","467"
"868","GHR Systems","68","68","468"
"869","Astute","69","69","469"
"870","Shirt Factory","70","70","470"
"871","Arrow Financial","71","71","471"
"872","Yum Brands","72","72","472"
"873","Security Mortga","73","73","473"
"874","Operational Tec","74","74","474"
"875","ProClarity","75","75","475"
"876","Bestever","76","76","476"
"877","Dynacq Internat","77","77","477"
"878","Virtual Meeting","78","78","478"
"879","Great Lakes Med","79","79","479"
"880","School Technolo","80","80","480"
"881","Pacific Data De","81","81","481"
"882","Genghis Grill","82","82","482"
"883","Granite Systems","83","83","483"
"884","Johnson & Johns","84","84","484"
"885","Sterling Financ","85","85","485"
"886","Integrated Deci","86","86","486"
"887","Grant Harrison ","87","87","487"
"888","Third Millenniu","88","88","488"
"889","Herbeau Creatio","89","89","489"
"890","Hershey Foods C","90","90","490"
"891","Campbell Soup C","91","91","491"
"892","MicroTek","92","92","492"
"893","Keller Williams","93","93","493"
"894","DataTrend Infor","94","94","494"
"895","MoneyLine Lendi","95","95","495"
"896","IntegraMed Amer","96","96","496"
"897","Nike","97","97","497"
"898","CIW Services","98","98","498"
"899","CyberThink","99","99","499"
